movie_id,title,rating_count,mean_rating
70,four weddings and a funeral,251,3.6614
71,lion king the,220,3.7818
72,mask the,129,3.1938
73,maverick,128,3.4688
74,faster pussycat kill kill,7,3.0
75,brother minister the assassination of malcolm x,5,3.0
76,carlitos way,54,3.4074
77,firm the,151,3.2781
78,free willy,33,2.4545
79,fugitive the,336,4.0446
80,hot shots part deux,68,2.7647
81,hudsucker proxy the,110,3.5545
82,jurassic park,261,3.7203
83,much ado about nothing,176,4.0625
84,robert a heinleins the puppet masters,18,3.0
85,ref the,58,3.0345
86,remains of the day the,150,3.94
87,searching for bobby fischer,138,3.9058
88,sleepless in seattle,213,3.5399
89,blade runner,275,4.1382
90,so i married an axe murderer,95,3.0526
91,nightmare before christmas the,143,3.5874
92,true romance,104,3.6154
93,welcome to the dollhouse,112,3.7232
94,home alone,137,3.0876
95,aladdin,219,3.8128
96,terminator 2 judgment day,295,4.0068
97,dances with wolves,256,3.793
98,silence of the lambs the,390,4.2897
99,snow white and the seven dwarfs,172,3.7093
100,fargo,508,4.1555
101,heavy metal,73,3.2603
102,aristocats the,54,3.1296
103,all dogs go to heaven 2,15,1.8667
104,theodore rex,5,1.4
105,sgt bilko,74,2.5676
106,diabolique,71,2.8873
107,moll flanders,42,3.5
108,kids in the hall brain candy,65,3.0769
109,mystery science theater 3000 the movie,130,3.4308
110,operation dumbo drop,31,2.5161
111,truth about cats  dogs the,272,3.4853
112,flipper,20,2.45
113,horseman on the roof the hussard sur le toit le,9,4.1111
114,wallace  gromit the best of aardman animation,67,4.4478
115,haunted world of edward d wood jr the,15,3.7333
116,cold comfort farm,125,3.824
117,rock the,378,3.6931
118,twister,293,3.215
119,maya lin a strong clear vision,4,4.5
120,striptease,67,2.2388
121,independence day id4,429,3.4382
122,cable guy the,106,2.3396
123,frighteners the,115,3.2348
124,lone star,187,4.0535
125,phenomenon,244,3.5574
126,spitfire grill the,97,3.8041
127,godfather the,413,4.2833
128,supercop,65,3.5385
129,bound,129,3.8217
130,kansas city,23,2.2609
131,breakfast at tiffanys,95,3.7263
132,wizard of oz the,246,4.0772
133,gone with the wind,171,3.8713
134,citizen kane,198,4.2929
135,2001 a space odyssey,259,3.9691
136,mr smith goes to washington,105,4.1238
137,big night,171,3.9006
138,d3 the mighty ducks,19,2.5789
139,love bug the,50,2.78
140,homeward bound the incredible journey,61,3.2131
141,20000 leagues under the sea,72,3.5
142,bedknobs and broomsticks,57,3.0702
143,sound of music the,222,3.7658
144,die hard,243,3.8724
145,lawnmower man the,65,2.4462
146,unhook the stars,10,2.5
147,long kiss goodnight the,185,3.4703
148,ghost and the darkness the,128,3.2031
149,jude,23,3.0
150,swingers,157,3.828
151,willy wonka and the chocolate factory,326,3.6319
152,sleeper,82,3.6341
153,fish called wanda a,247,3.7854
154,monty pythons life of brian,174,3.7471
155,dirty dancing,98,3.102
156,reservoir dogs,148,3.9865
157,platoon,127,3.6929
158,weekend at bernies,60,2.6167
159,basic instinct,101,3.2277
160,glengarry glen ross,69,3.4638
161,top gun,220,3.4818
162,on golden pond,106,3.5566
163,return of the pink panther the,92,3.5543
164,abyss the,151,3.5894
165,jean de florette,64,4.1094
166,manon of the spring manon des sources,58,4.1207
167,private benjamin,67,2.9552
168,monty python and the holy grail,316,4.0665
169,wrong trousers the,118,4.4661
170,cinema paradiso,121,4.1736
171,delicatessen,65,3.8769
172,empire strikes back the,367,4.2044
173,princess bride the,324,4.1728
174,raiders of the lost ark,420,4.2524
175,brazil,208,3.8173
176,aliens,284,3.9472
177,good the bad and the ugly the,137,3.8613
178,12 angry men,125,4.344
179,clockwork orange a,221,3.9095
180,apocalypse now,221,4.0452
181,return of the jedi,507,4.0079
182,goodfellas,226,3.9513
183,alien,291,4.0344
184,army of darkness,116,3.431
185,psycho,239,4.1004
186,blues brothers the,251,3.8367
187,godfather part ii the,209,4.1866
188,full metal jacket,170,3.6824
189,grand day out a,66,4.1061
190,henry v,124,4.1371
191,amadeus,276,4.163
192,raging bull,116,4.1207
193,right stuff the,157,3.9172
194,sting the,241,4.0581
195,terminator the,301,3.9336
196,dead poets society,251,3.9163
197,graduate the,239,4.1046
198,nikita la femme nikita,127,4.0079
199,bridge on the river kwai the,165,4.1758
200,shining the,206,3.8252
201,evil dead ii,89,3.5169
202,groundhog day,280,3.7643
203,unforgiven,182,3.8681
204,back to the future,350,3.8343
205,patton,136,3.9926
206,akira,50,3.38
207,cyrano de bergerac,66,3.8182
208,young frankenstein,200,3.945
209,this is spinal tap,191,3.9058
210,indiana jones and the last crusade,331,3.9305
211,mash,206,3.9126
212,unbearable lightness of being the,92,3.4565
213,room with a view a,134,3.9851
214,pink floyd  the wall,114,3.3509
215,field of dreams,212,3.6981
216,when harry met sally,290,3.9103
217,bram stokers dracula,120,3.1583
218,cape fear,171,3.4561
219,nightmare on elm street a,111,3.1712
220,mirror has two faces the,66,3.3636
221,breaking the waves,74,3.7297
222,star trek first contact,365,3.6603
223,sling blade,136,4.1985
224,ridicule,44,3.7045
225,101 dalmatians,109,2.9083
226,die hard 2,166,3.3554
227,star trek vi the undiscovered country,161,3.2795
228,star trek the wrath of khan,244,3.8156
229,star trek iii the search for spock,171,3.1111
230,star trek iv the voyage home,199,3.4472
231,batman returns,142,2.6831
232,young guns,101,3.2079
233,under siege,124,3.2903
234,jaws,280,3.775
235,mars attacks,217,2.8479
236,citizen ruth,45,3.6222
237,jerry maguire,384,3.7109
238,raising arizona,256,3.875
239,sneakers,150,3.5133
240,beavis and butthead do america,156,2.7885
241,last of the mohicans the,128,3.5469
242,kolya,117,3.9915
243,jungle2jungle,132,2.4394
244,smillas sense of snow,48,3.1667
245,devils own the,240,3.1083
246,chasing amy,124,3.9355
247,turbo a power rangers movie,5,1.8
248,grosse pointe blank,160,3.675
249,austin powers international man of mystery,130,3.2462
250,fifth element the,197,3.4772
251,shall we dance,46,4.2609
252,lost world jurassic park the,158,2.943
253,pillow book the,26,3.6923
254,batman  robin,62,2.4516
255,my best friends wedding,172,3.3605
256,when the cats away chacun cherche son chat,16,3.5625
257,men in black,303,3.7459
258,contact,509,3.8035
259,george of the jungle,162,2.6852
260,event horizon,127,2.5748
261,air bud,43,2.5581
262,in the company of men,66,3.7121
263,steel,19,2.1579
264,mimic,101,2.7426
265,hunt for red october the,227,3.8634
266,kull the conqueror,35,2.7143
267,,9,3.4444
268,chasing amy,255,3.7922
269,full monty the,315,3.927
270,gattaca,136,3.5956
271,starship troopers,211,3.2322
272,good will hunting,198,4.2626
273,heat,223,3.5695
274,sabrina,190,3.5
275,sense and sensibility,268,4.0112
276,leaving las vegas,298,3.698
277,restoration,71,3.4648
278,bed of roses,60,3.2333
279,once upon a time when we were colored,28,3.2857
280,up close and personal,85,3.1882
281,river wild the,146,3.1438
282,time to kill a,232,3.6853
283,emma,177,3.7175
284,tin cup,193,3.1606
285,secrets  lies,162,4.2654
286,english patient the,481,3.657
287,marvins room,78,3.5897
288,scream,478,3.4414
289,evita,259,2.9807
290,fierce creatures,96,3.1146
291,absolute power,127,3.3701
292,rosewood,114,3.6667
293,donnie brasco,147,3.8027
294,liar liar,485,3.1567
295,breakdown,77,3.4026
296,promesse la,6,3.3333
297,ulees gold,50,3.96
298,faceoff,194,3.768
299,hoodlum,73,2.9315
300,air force one,431,3.6311
301,in  out,230,3.3043
302,la confidential,297,4.1616
303,ulees gold,134,3.6866
304,fly away home,149,3.5369
305,ice storm the,87,3.6437
306,mrs brown her majesty mrs brown,96,3.9479
307,devils advocate the,188,3.516
308,fairytale a true story,30,2.9667
309,deceiver,28,2.8571
310,rainmaker the,145,3.6
311,wings of the dove the,75,3.68
312,midnight in the garden of good and evil,80,3.1625
313,titanic,350,4.2457
314,3 ninjas high noon at mega mountain,5,1.0
315,apt pupil,160,4.1
316,as good as it gets,112,4.1964
317,in the name of the father,102,3.9118
318,schindlers list,298,4.4664
319,everyone says i love you,168,3.2738
320,paradise lost the child murders at robin hood hills,20,4.05
321,mother,169,3.1302
322,murder at 1600,218,3.0872
323,dantes peak,240,2.9333
324,lost highway,125,3.136
325,crash,128,2.5469
326,gi jane,175,3.36
327,cop land,175,3.3771
328,conspiracy theory,295,3.4237
329,desperate measures,45,3.3333
330,187,41,3.0244
331,edge the,113,3.5398
332,kiss the girls,143,3.4615
333,game the,251,3.5936
334,u turn,64,3.3594
335,how to be a player,21,2.7619
336,playing god,43,2.6279
337,house of yes the,18,3.0
338,bean,91,2.6593
339,mad city,47,3.2553
340,boogie nights,189,3.5873
341,critical care,11,3.0909
342,man who knew too little the,52,2.9231
343,alien resurrection,124,3.0968
344,apostle the,55,3.6545
345,deconstructing harry,65,3.4
346,jackie brown,126,3.6429
347,wag the dog,137,3.5109
348,desperate measures,27,3.2963
349,hard rain,31,2.9032
350,fallen,41,3.1463
351,prophecy ii the,20,2.7
352,spice world,26,2.1154
353,deep rising,14,2.4286
354,wedding singer the,72,3.4861
355,sphere,41,2.9268
356,client the,97,3.3814
357,one flew over the cuckoos nest,264,4.2917
358,spawn,143,2.6154
359,assignment the,18,3.5
360,wonderland,10,3.2
361,incognito,10,3.5
362,blues brothers 2000,28,2.8214
363,sudden death,47,2.7234
364,ace ventura when nature calls,37,2.6757
365,powder,48,3.2083
366,dangerous minds,47,3.3404
367,clueless,170,3.4588
368,biodome,31,1.9032
369,black sheep,55,2.6364
370,mary reilly,39,2.8205
371,bridges of madison county the,67,3.1642
372,jeffrey,34,3.5294
373,judge dredd,39,2.8974
374,mighty morphin power rangers the movie,11,2.2727
375,showgirls,23,1.9565
376,houseguest,24,2.8333
377,heavyweights,13,2.1538
378,miracle on 34th street,101,3.7228
379,tales from the crypt presents demon knight,43,2.9767
380,star trek generations,116,3.3362
381,muriels wedding,100,3.55
382,adventures of priscilla queen of the desert the,111,3.5946
383,flintstones the,31,2.0645
384,naked gun 33 13 the final insult,69,2.7826
385,true lies,208,3.5625
386,addams family values,87,2.8161
387,age of innocence the,65,3.3846
388,beverly hills cop iii,28,2.3929
389,black beauty,27,3.4444
390,fear of a black hat,10,3.2
391,last action hero,59,2.7458
392,man without a face the,68,3.5441
393,mrs doubtfire,192,3.4115
394,radioland murders,12,3.3333
395,robin hood men in tights,56,2.5893
396,serial mom,54,2.8148
397,striking distance,12,2.5833
398,super mario bros,26,2.0769
399,three musketeers the,89,3.3034
400,little rascals the,18,2.7222
401,brady bunch movie the,76,2.8026
402,ghost,170,3.4647
403,batman,201,3.4279
404,pinocchio,101,3.6733
405,mission impossible,344,3.314
406,thinner,49,2.449
407,spy hard,43,2.5116
408,close shave a,112,4.4911
409,jack,70,3.1429
410,kingpin,162,3.1296
411,nutty professor the,163,2.9141
412,very brady sequel a,93,2.3978
413,tales from the crypt presents bordello of blood,55,2.6364
414,my favorite year,62,3.5323
415,apple dumpling gang the,25,2.84
416,old yeller,64,3.4844
417,parent trap the,73,3.0959
418,cinderella,129,3.5814
419,mary poppins,178,3.7247
420,alice in wonderland,81,3.6667
421,william shakespeares romeo and juliet,106,3.5943
422,aladdin and the king of thieves,26,2.8462
423,et the extraterrestrial,300,3.8333
424,children of the corn the gathering,19,1.3158
425,bob roberts,85,3.7412
426,transformers the movie the,32,2.8438
427,to kill a mockingbird,219,4.2922
428,harold and maude,121,3.8182
429,day the earth stood still the,97,3.9381
430,duck soup,93,4.0
431,highlander,153,3.5359
432,fantasia,174,3.7701
433,heathers,171,3.6901
434,forbidden planet,67,3.8358
435,butch cassidy and the sundance kid,216,3.9491
436,american werewolf in london an,99,3.5354
437,amityville 1992 its about time,5,1.0
438,amityville 3d,6,1.1667
439,amityville a new generation,5,1.0
440,amityville ii the possession,14,1.6429
441,amityville horror the,53,2.566
442,amityville curse the,4,1.25
443,birds the,162,3.8086
444,blob the,46,2.7174
445,body snatcher the,22,3.5
446,burnt offerings,9,2.4444
447,carrie,121,3.5041
448,omen the,85,3.3882
449,star trek the motion picture,117,3.0342
450,star trek v the final frontier,63,2.3968
451,grease,170,3.3471
452,jaws 2,66,2.6667
453,jaws 3d,16,1.9375
454,bastard out of carolina,16,2.875
455,jackie chans first strike,145,3.2552
456,beverly hills ninja,48,2.3125
457,free willy 3 the rescue,27,1.7407
458,nixon,90,3.1222
459,cry the beloved country,24,3.75
460,crossing guard the,28,3.0
461,smoke,74,3.6216
462,like water for chocolate como agua para chocolate,148,3.8041
463,secret of roan inish the,71,3.8592
464,vanya on 42nd street,27,3.5926
465,jungle book the,85,3.5647
466,red rock west,52,3.5962
467,bronx tale a,48,3.7917
468,rudy,64,3.3125
469,short cuts,67,3.7761
470,tombstone,108,3.6667
471,courage under fire,221,3.6109
472,dragonheart,158,3.0823
473,james and the giant peach,126,3.127
474,dr strangelove or how i learned to stop worrying and love the bomb,194,4.2526
475,trainspotting,250,3.884
476,first wives club the,160,3.0188
477,matilda,95,3.2105
478,philadelphia story the,104,4.1154
479,vertigo,179,4.2514
480,north by northwest,179,4.2849
481,apartment the,63,3.9365
482,some like it hot,128,3.9844
483,casablanca,243,4.4568
484,maltese falcon the,138,4.2101
485,my fair lady,125,3.816
486,sabrina,64,3.7969
487,roman holiday,68,4.1029
488,sunset blvd,65,4.2
489,notorious,52,4.1154
490,to catch a thief,50,4.02
491,adventures of robin hood the,67,3.791
492,east of eden,59,3.8644
493,thin man the,60,4.15
494,his girl friday,56,4.0
495,around the world in 80 days,59,3.661
496,its a wonderful life,231,4.1212
497,bringing up baby,68,3.8382
498,african queen the,152,4.1842
499,cat on a hot tin roof,62,3.9516
500,fly away home,31,3.9032
501,dumbo,123,3.4959
502,bananas,57,3.7018
503,candidate the,39,3.641
504,bonnie and clyde,122,3.8197
505,dial m for murder,68,4.0
506,rebel without a cause,90,3.8556
507,streetcar named desire a,98,3.8163
508,people vs larry flynt the,215,3.5953
509,my left foot,121,3.8512
510,magnificent seven the,121,3.9421
511,lawrence of arabia,173,4.2312
512,wings of desire,57,4.0
513,third man the,72,4.3333
514,annie hall,180,3.9111
515,boot das,201,4.204
516,local hero,63,3.9683
517,manhattan,91,3.7692
518,millers crossing,89,3.6517
519,treasure of the sierra madre the,80,4.1
520,great escape the,124,4.1048
521,deer hunter the,120,3.8333
522,down by law,35,3.7714
523,cool hand luke,164,3.9939
524,great dictator the,46,4.0217
525,big sleep the,73,4.0274
526,benhur,124,3.8306
527,gandhi,195,4.0205
528,killing fields the,121,4.1322
529,my life as a dog mitt liv som hund,93,3.9785
530,man who would be king the,80,4.025
531,shine,129,3.9225
532,kama sutra a tale of love,22,3.3182
533,daytrippers the,15,3.6667
534,traveller,13,3.3077
535,addicted to love,54,3.1667
536,ponette,10,3.3
537,my own private idaho,30,3.6333
538,anastasia,66,3.4242
539,mouse hunt,44,2.4773
540,money train,43,2.5116
541,mortal kombat,49,2.8776
542,pocahontas,51,2.5294
543,misérables les,21,3.619
544,things to do in denver when youre dead,71,3.1549
545,vampire in brooklyn,12,1.8333
546,broken arrow,254,3.0315
547,young poisoners handbook the,41,3.3415
548,neverending story iii the,12,2.1667
549,rob roy,92,3.5652
550,die hard with a vengeance,151,3.2848
551,lord of illusions,24,2.4167
552,species,45,2.8667
553,walk in the clouds a,63,3.2857
554,waterworld,102,2.8039
555,white mans burden,10,2.0
556,wild bill,12,2.5
557,farinelli il castrato,17,3.1176
558,heavenly creatures,70,3.6714
559,interview with the vampire,137,3.1825
560,kid in king arthurs court a,22,2.7273
561,mary shelleys frankenstein,59,3.0678
562,quick and the dead the,48,3.2083
563,stephen kings the langoliers,29,2.4138
564,tales from the hood,27,2.037
565,village of the damned,22,2.6818
566,clear and present danger,179,3.5698
567,wes cravens new nightmare,35,2.8
568,speed,230,3.6478
569,wolf,67,2.7015
570,wyatt earp,50,3.1
571,another stakeout,28,2.5
572,blown away,29,2.7586
573,body snatchers,33,2.9394
574,boxing helena,15,2.2
575,city slickers ii the legend of curlys gold,44,2.5455
576,cliffhanger,93,3.0215
577,coneheads,41,2.2195
578,demolition man,92,3.1522
579,fatal instinct,19,2.6316
580,englishman who went up a hill but came down a mountain the,32,3.375
581,kalifornia,59,3.2203
582,piano the,168,3.6012
583,romeo is bleeding,37,3.0
584,secret garden the,79,3.5443
585,son in law,39,2.4872
586,terminal velocity,34,2.6765
587,hour of the pig the,14,3.5714
588,beauty and the beast,202,3.7921
589,wild bunch the,43,4.0233
590,hellraiser bloodline,18,2.0
591,primal fear,178,3.6011
592,true crime,9,3.3333
593,stalingrad,12,3.1667
594,heavy,5,2.4
595,fan the,64,3.0938
596,hunchback of notre dame the,127,3.378
597,eraser,206,3.1505
598,big squeeze the,4,2.25
599,police story 4 project s chao ji ji hua,1,1.0
600,daniel defoes robinson crusoe,2,3.0
601,for whom the bell tolls,20,4.0
602,american in paris an,50,3.7
603,rear window,209,4.3876
604,it happened one night,81,4.0123
605,meet me in st louis,31,3.3548
606,all about eve,66,4.0455
607,rebecca,66,3.9697
608,spellbound,30,3.9333
609,father of the bride,60,3.5833
610,gigi,41,3.6585
611,laura,40,4.1
612,lost horizon,34,3.9412
613,my man godfrey,27,4.037
614,giant,51,3.7451
615,39 steps the,59,4.0508
616,night of the living dead,64,3.4219
617,blue angel the blaue engel der,18,3.7778
618,picnic,18,3.6111
619,extreme measures,64,3.1719
620,chamber the,43,3.093
621,davy crockett king of the wild frontier,11,2.9091
622,swiss family robinson,39,3.359
623,angels in the outfield,39,2.9231
624,three caballeros the,22,3.2727
625,sword in the stone the,82,3.3293
626,so dear to my heart,4,3.25
627,robin hood prince of thieves,75,3.2267
628,sleepers,169,3.5148
629,victorvictoria,77,3.3377
630,great race the,31,3.2903
631,crying game the,119,3.6218
632,sophies choice,58,3.8966
633,christmas carol a,69,4.058
634,microcosmos le peuple de lherbe,24,3.75
635,fog the,23,2.7391
636,escape from new york,91,3.2418
637,howling the,38,3.0263
638,return of martin guerre the retour de martin guerre le,44,3.7727
639,tin drum the blechtrommel die,40,3.7
640,cook the thief his wife  her lover the,82,3.0244
641,paths of glory,33,4.2121
642,grifters the,89,3.4831
643,the innocent,4,3.0
644,thin blue line the,35,3.7714
645,paris is burning,27,3.8148
646,once upon a time in the west,38,3.8684
647,ran,70,4.1
648,quiet man the,67,4.0299
649,once upon a time in america,50,3.4
650,seventh seal the sjunde inseglet det,72,3.5417
651,glory,171,4.076
652,rosencrantz and guildenstern are dead,90,3.8889
653,touch of evil,34,3.9118
654,chinatown,147,4.1361
655,stand by me,227,3.8811
656,m,44,4.0
657,manchurian candidate the,131,4.2595
658,pump up the volume,79,3.4177
659,arsenic and old lace,115,4.0783
660,fried green tomatoes,153,3.7647
661,high noon,88,4.1023
662,somewhere in time,82,3.4268
663,being there,116,3.9052
664,paris texas,46,3.5435
665,alien 3,100,2.83
666,blood for dracula andy warhols dracula,5,2.4
667,audrey rose,12,2.1667
668,blood beach,6,2.1667
669,body parts,13,1.6154
670,body snatchers,36,3.0
671,bride of frankenstein,46,3.6087
672,candyman,65,2.7231
673,cape fear,86,3.5233
674,cat people,48,2.8958
675,nosferatu nosferatu eine symphonie des grauens,54,3.5556
676,crucible the,77,3.3377
677,fire on the mountain,1,3.0
678,volcano,219,2.8082
679,conan the barbarian,107,3.0467
680,kull the conqueror,34,2.5588
681,wishmaster,27,2.4444
682,i know what you did last summer,100,3.06
683,rocket man,49,2.4082
684,in the line of fire,169,3.7929
685,executive decision,157,3.3567
686,perfect world a,50,3.68
687,mchales navy,69,2.1884
688,leave it to beaver,44,1.8409
689,jackal the,87,3.1494
690,seven years in tibet,155,3.4581
691,dark city,16,3.5
692,american president the,164,3.628
693,casino,91,3.6484
694,persuasion,44,4.0455
695,kicking and screaming,13,2.9231
696,city hall,79,3.1392
697,basketball diaries the,40,3.425
698,browning version the,10,3.0
699,little women,102,3.6765
700,miami rhapsody,15,2.6
701,wonderful horrible life of leni riefenstahl the,10,4.0
702,barcelona,53,3.0189
703,widows peak,19,3.5789
704,house of the spirits the,24,3.0417
705,singin in the rain,137,3.9927
706,bad moon,6,2.6667
707,enchanted april,70,3.9286
708,sex lies and videotape,101,3.4752
709,strictly ballroom,104,4.0288
710,better off dead,79,3.5696
711,substance of fire the,1,4.0
712,tin men,51,3.0784
713,othello,72,3.6111
714,carrington,13,3.2308
715,to die for,87,3.2759
716,home for the holidays,58,3.1552
717,juror the,82,2.8171
718,in the bleak midwinter,16,3.6875
719,canadian bacon,29,2.4138
720,first knight,86,3.0233
721,mallrats,54,3.4444
722,nine months,58,2.931
723,boys on the side,34,3.1471
724,circle of friends,76,3.4868
725,exit to eden,16,2.75
726,fluke,14,2.4286
727,immortal beloved,63,3.4603
728,junior,45,3.0222
729,nell,81,3.4815
730,queen margot reine margot la,24,3.5
731,corrina corrina,39,3.1538
732,dave,180,3.65
733,go fish,15,3.2
734,made in america,27,2.5185
735,philadelphia,137,3.854
736,shadowlands,78,3.9359
737,sirens,59,2.9831
738,threesome,31,2.8387
739,pretty woman,164,3.3232
740,jane eyre,63,3.4762
741,last supper the,58,3.4483
742,ransom,267,3.6442
743,crow city of angels the,39,1.9487
744,michael collins,92,3.4565
745,ruling class the,16,3.875
746,real genius,119,3.6639
747,benny  joon,102,3.4608
748,saint the,316,3.1234
749,matchmaker the,51,3.1765
750,amistad,124,3.8548
751,tomorrow never dies,180,3.4278
752,replacement killers the,39,3.3077
753,burnt by the sun,24,3.7083
754,red corner,57,3.386
755,jumanji,96,3.3125
756,father of the bride part ii,128,2.8984
757,across the sea of time,4,2.75
758,lawnmower man 2 beyond cyberspace,21,1.7143
759,fair game,11,2.1818
760,screamers,46,2.6522
761,nick of time,44,3.0455
762,beautiful girls,115,3.3913
763,happy gilmore,149,3.3893
764,if lucy fell,29,2.7586
765,boomerang,32,2.8125
766,man of the year,9,3.1111
767,addiction the,11,2.1818
768,casper,52,3.0769
769,congo,42,2.4524
770,devil in a blue dress,57,3.386
771,johnny mnemonic,41,2.6341
772,kids,49,3.0612
773,mute witness,17,2.9412
774,prophecy the,32,2.9375
775,something to talk about,26,2.7692
776,three wishes,9,3.2222
777,castle freak,4,1.25
778,don juan demarco,76,3.5526
779,drop zone,31,2.5484
780,dumb  dumber,69,3.0
781,french kiss,84,3.3333
782,little odessa,10,2.6
783,milk money,37,2.7297
784,beyond bedlam,2,1.0
785,only you,39,3.1538
786,perez family the,14,2.6429
787,roommates,13,3.2308
788,relative fear,3,1.6667
789,swimming with sharks,47,3.5745
790,tommy boy,66,2.9091
791,babysitters club the,10,2.5
792,bullets over broadway,86,3.7209
793,crooklyn,10,3.5
794,it could happen to you,46,3.6522
795,richie rich,21,2.4286
796,speechless,36,3.0833
797,timecop,31,3.0968
798,bad company,9,2.2222
799,boys life,5,3.2
800,in the mouth of madness,26,2.8846
801,air up there the,16,2.8125
802,hard target,40,2.7
803,heaven  earth,9,2.5556
804,jimmy hollywood,8,2.875
805,manhattan murder mystery,27,3.6296
806,menace ii society,50,3.46
807,poetic justice,9,2.7778
808,program the,31,2.8387
809,rising sun,43,2.907
810,shadow the,45,2.8889
811,thirtytwo short films about glenn gould,18,3.9444
812,andre,18,3.1111
813,celluloid closet the,56,3.8929
814,great day in harlem a,1,5.0
815,one fine day,112,3.2321
816,candyman farewell to the flesh,21,2.4286
817,frisk,3,2.6667
818,girl 6,25,2.76
819,eddie,40,2.7
820,space jam,93,2.7742
821,mrs winterbourne,22,3.0455
822,faces,4,3.0
823,mulholland falls,82,2.878
824,great white hype the,49,2.7551
825,arrival the,83,3.0361
826,phantom the,80,2.575
827,daylight,57,2.7719
828,alaska,13,2.6923
829,fled,34,2.6471
830,power 98,1,1.0
831,escape from la,91,2.4615
832,bogus,22,2.5455
833,bulletproof,49,3.2041
834,halloween the curse of michael myers,25,2.2
835,gay divorcee the,15,3.8667
836,ninotchka,26,3.7692
837,meet john doe,25,3.92
838,in the line of duty 2,4,2.75
839,loch ness,4,2.5
840,last man standing,53,2.6604
841,glimmer man the,48,2.75
842,pollyanna,27,3.1481
843,shaggy dog the,30,3.0
844,freeway,42,3.3571
845,that thing you do,176,3.4659
846,to gillian on her 37th birthday,44,3.0682
847,looking for richard,55,3.7273
848,murder my sweet,9,3.5556
849,days of thunder,53,2.717
850,perfect candidate a,4,4.0
851,two or three things i know about her,4,3.75
852,bloody child the,1,1.0
853,braindead,14,3.8571
854,bad taste,16,3.375
855,diva,66,3.7273
856,night on earth,36,3.8333
857,paris was a woman,1,3.0
858,amityville dollhouse,3,1.0
859,april fools day,15,2.6667
860,believers the,16,2.25
861,nosferatu a venezia,3,2.3333
862,jingle all the way,18,2.1111
863,garden of finzicontini the giardino dei finzicontini il,24,3.9167
864,my fellow americans,86,3.1628
865,ice storm the,21,3.4762
866,michael,119,3.3193
867,whole wide world the,6,4.0
868,hearts and minds,5,3.8
869,fools rush in,24,3.0
870,touch,9,2.7778
871,vegas vacation,75,2.4
872,love jones,42,3.0952
873,picture perfect,81,2.963
874,career girls,39,3.2564
875,shes so lovely,53,2.7358
876,money talks,47,2.7021
877,excess baggage,52,2.5385
878,that darn cat,33,2.5152
879,peacemaker the,136,3.2721
880,soul food,59,3.1695
881,money talks,45,2.9333
882,washington square,34,3.2941
883,telling lies in america,13,3.2308
884,year of the horse,7,3.2857
885,phantoms,13,2.2308
886,life less ordinary a,53,3.0755
887,eves bayou,64,3.6094
888,one night stand,15,3.4667
889,tango lesson the,13,3.3846
890,mortal kombat annihilation,43,1.9535
891,bent,6,2.6667
892,flubber,53,2.7547
893,for richer or poorer,14,2.4286
894,home alone 3,19,1.8947
895,scream 2,106,3.217
896,sweet hereafter the,44,3.7727
897,time tracers,2,1.5
898,postman the,58,3.2241
899,winter guest the,9,3.4444
900,kundun,42,3.6905
901,mr magoo,12,1.9167
